"paper","experiment","outliersite","stdresid","Q","Qi","p0","p25","p33","p67","tbardot"
"alogna","RR1","mturk",1.95614665411904,35.8525690545873,32.0260593221661,0.415482609962678,0.75278551654909,0.826823515536963,0.9681809363472,-0.0438935588646459
"alogna","RR2","andre kehn",1.49671627287698,17.097865977019,14.8577063755242,0.868271795472764,0.964528322262393,0.977765488393402,0.996944291442005,-0.16368441167377
"cheung","Exit","original",-2.47479977446113,20.0779688742785,13.9533349506056,0.529071235488237,0.757987865989067,0.811039830556539,0.936529989762391,-0.0493369219883742
"cheung","Neglect","Cobb",2.51443758706671,20.4376015057771,14.1152051265232,0.516810262834821,0.748850630948878,0.803210684270337,0.933027576099067,-0.102361448007127
"cheung","Voice","Collins",1.75111435671242,13.1326438368687,10.0662423465843,0.815552520655844,0.930074433812631,0.950284967881187,0.988170737227064,0.020115301338036
"cheung","Loyalty","Hoplock",-1.41560366180356,9.07988296558909,7.07594923827743,0.955507823975043,0.987151189275958,0.991597527318021,0.998529956604553,0.0386530740364963
"eerland","Imagery","original",2.68263942301824,15.1299407769356,7.93338650300393,0.719258272129499,0.86329701367453,0.893813887242293,0.963291269846988,-0.0810566972533538
"eerland","Intention_attribution","original",2.1998912578663,15.2902426827481,10.4507211363115,0.490357099580786,0.700978096641277,0.753922075486037,0.894657823940912,0.00923101661754357
"eerland","Intentionality","original",3.09763159853121,28.1379391602878,18.5426176400687,0.0698142480190541,0.200323541635053,0.253211823663107,0.477500367277268,-0.176404367748559
"hagger","RTV","original",2.23568339489591,25.116442397316,20.1181621551027,0.575648543199407,0.824433269123105,0.874496968379919,0.972110856099568,0.00386737812693202
"hagger","RT","Evans & Fay",-2.22264146172306,23.6734760662278,18.7333409988574,0.661731895466521,0.874035677472598,0.912834230741438,0.98281056952709,0.103997794516151
"manylabs","Allowedforbidden","original",-3.42785585927722,39.4054640531025,27.6552682611215,0.806980213985494,0.960347407138361,0.978068458923509,0.998393130114803,1.33845201815283
"manylabs","Anchoring1","conncoll",2.96400016550725,63.1957380231615,54.4104410420357,0.0192890788045162,0.154649705085171,0.234798639455382,0.616852639924659,1.1432751233173
"manylabs","Anchoring2","pi",-6.92936027152774,179.461878268208,131.44584449558,4.35873559467836e-13,2.49092213522317e-09,1.76133636564657e-08,5.70809523281479e-06,1.88428162250701
"manylabs","Anchoring3","swpson",-8.72169461797611,367.12861734544,291.060660336206,0,0,0,0,2.21676959430519
"manylabs","Anchoring4","original",-8.26507743754637,158.913446732024,90.601941683388,8.09255836342615e-07,0.000156831326875828,0.000508175919959442,0.0137934497595821,2.42240643766673
"manylabs","Flagpriming","unipd",2.76481455892613,34.384873079436,26.7406735341861,0.840420904016696,0.969719110744428,0.983649331134506,0.998901838825159,0.012726607365153
"manylabs","Gainloss","original",-3.70954184541188,50.7723071041609,37.0116064012988,0.376232355028186,0.738839062182069,0.819789164346581,0.970265704497226,-1.19733682274103
"manylabs","Gamblersfallacy","osu",-2.6789643852383,51.4100713948735,44.2332212174979,0.136241936600387,0.460769103216294,0.573381305398869,0.880724925014063,0.640645690155626
"manylabs","IAT","ufl",3.26836485151019,49.0975098838114,38.4153010812242,0.276260036355794,0.642056104384424,0.738324505405235,0.945611803070768,0.390063706654339
"manylabs","Imaginedcontact","tilburg",-2.92321345988366,49.6120581230921,41.0668811910471,0.221921542957884,0.585000377139034,0.689546344985644,0.930357266870222,0.14827530168896
"manylabs","Mathartgender","tamuon",-2.84007548097329,51.3111898613182,43.2451611236927,0.132986695123154,0.450048622370037,0.561348020535684,0.871864205096122,0.604237183877717
"manylabs","Moneypriming","original",2.14939238499657,33.4213961686937,28.8015085440125,0.760754777670273,0.94582958557414,0.969141002961916,0.997483465883584,-0.0174401748359549
"manylabs","Reciprocity","original",-3.41270838169704,50.5397959664689,38.8932174679637,0.298682614345908,0.669645622120954,0.763048831395343,0.954759340219222,0.373839732731997
"manylabs","Scales","original",-5.87731720343522,67.6226394887207,33.0797819789251,0.561072959598822,0.86044182426871,0.911753521473642,0.989467484907153,1.36568714048846
"manylabs","Sunkcosts","oxy",2.14118554940163,36.2374920881202,31.6528165311539,0.630486381180001,0.894633003461929,0.935585467965865,0.99320676574179,0.276812631152966
"ppir","Bad Tipper","jenjordan",-8.75534568392502,173.438431817156,96.7823537721312,5.295763827462e-14,5.99766902809051e-11,2.84795742544475e-10,3.24720177413695e-08,0.718168928287589
"ppir","Belief-Act Inconsistency","danmolden",7.74839700227265,83.8585653372231,23.8209092323953,0.0215121616326162,0.0908392071812099,0.125452038370676,0.306837431976071,0.306627942134367
"ppir","Bigot-Misanthrope","mturk",-3.91092299258921,54.8792493733414,39.5839307193781,4.21352782512541e-05,0.000768678379302834,0.00148335311259129,0.010376591226873,1.29178661225548
"ppir","Burn in Hell","mturk",4.26785906341064,37.3329993664705,19.1183783813341,0.160475093495089,0.373470812020193,0.446707086594315,0.699848544825833,0.198522782891073
"ppir","Cold-Hearted Prosociality","jessegraham",4.6422831984362,53.7477626002931,32.1969693058097,0.000709143629243569,0.00689683908848393,0.0115580497681826,0.0520007009853943,1.96549001995308
"ppir","Higher Standards - Charity","deannakennedy",-6.47537319072852,92.4800617469704,50.5496037877651,2.11444166065e-07,9.9762794345537e-06,2.36098873620527e-05,0.000315728462622955,0.944568545423177
"ppir","Higher Standards - Company","toribrescoll",-6.37206733701056,105.644733218794,65.0414910713972,3.97988753064737e-10,5.51332430820395e-08,1.63572553280034e-07,4.43659478910341e-06,1.04645129718056
"ppir","Intuitive Economics","jessegraham",4.67161220804768,52.4920587522992,30.668098129919,0.00616766837735028,0.0401206284175679,0.0610728138462034,0.1977083977308,0.487537874891189
